  -1.8899409453536553                1
  -1.8002814494438046                2
  -1.7293450780038675                3
  -1.6746779316083713                4
  -1.6334862083304402                5
  -1.6030158711783840                6
  -1.5808031578465012                7
  -1.5647905847081165                8
  -1.5533440665987184                9
  -1.5452118952910534               10
  -1.5394602966931386               11
  -1.5354054098743628               12
  -1.5325532756491125               13
  -1.5305504261176162               14
  -1.5291455600454298               15
  -1.5281609148916739               16
  -1.5274711865934143               17
  -1.5269882016939780               18
  -1.5266500887501342               19
  -1.5264134901589219               20
  -1.5262479126924349               21
  -1.5261320649626531               22
  -1.5260510705140797               23
  -1.5259943693516962               24
  -1.5259547265130882               25
  -1.5259269597311722               26
  -1.5259075378446043               27
  -1.5258939455175122               28
  -1.5258844406510232               29
  -1.5258777657848999               30
  -1.5258730980304831               31
  -1.5258698336894545               32
  -1.5258675844221725               33
  -1.5258660118667775               34
  -1.5258649006809928               35
