   0.00000000000000000000000000000000000         88000000.0000000000000000000000000000         0.00000000000000000000000000000000000         0.00000000000000000000000000000000000        -54.6199989318847656250000000000000000      
   283824.000000000000000000000000000000         87305736.5868890602610372546487603265        -15502466.5768432617187500000000000000        -4.81820276070589351312207957811391727        -54.1987968229130030359863979122652372      
   567648.000000000000000000000000000000         85264956.8392908209590632777716427854        -30765838.6189329203473716068021015370        -9.35884757582127744912010977615799394        -52.9951257741882580342979117851244090      
   851472.000000000000000000000000000000         81993205.4781692637595991225745437870        -45585043.7323096780154031410290023008        -13.4085694882389539644176772606425484        -51.1667967489547936233595071432374951      
   1135296.00000000000000000000000000000         77653609.1864309552190695121099935541        -59810568.4598836110380843843129460191        -16.8517913981584110837176249735007040        -48.9178123555704086951521108381692020      
   1419120.00000000000000000000000000000         72427319.7945874380247489801935860511        -73353142.0803245093703888464420673798        -19.6662982830219144246634642811083966        -46.4462186837501057649549534874407650      
   1702944.00000000000000000000000000000         66490074.2986701315397381459377509315        -86175671.6032769910753495337501847963        -21.8954889017964776705157528466671179        -43.9118391069364034891401443748300433      
   1986768.00000000000000000000000000000         59998389.3104604710680360541216811520        -98279609.7256987449381922711161509041        -23.6166592980924181358886259032637482        -41.4265095401686267932387114542311598      
   2270592.00000000000000000000000000000         53084124.8814265665697372392210150728        -109691346.890734631737277901829756208        -24.9167601542903548998075277875225169        -39.0588886820628206287122108818353521      
   2554416.00000000000000000000000000000         45854440.2423978596898701105881495746        -120451309.768294340942439500198802976        -25.8781380666574912834722040558176095        -36.8449439701165842557485077516871779      
   2838240.00000000000000000000000000000         38394451.5641645749576568095331383184        -130606305.645483370556885030757985928        -26.5721383826197578513804435202432019        -34.7985457356646764349681994974968586      
   3122064.00000000000000000000000000000         30770819.0337805193850497045847705589        -140204634.658052923191396328707158080        -27.0575041878113533841458591410420300        -32.9199042600387114710284877401684282      
   3405888.00000000000000000000000000000         23035313.4269618358318531808834440906        -149293223.458885825045991409766717074        -27.3811723756742660573774691074695011        -31.2015038231170623886974706545733169      
   3689712.00000000000000000000000000000         15227951.2970737736061114990008537127        -157916105.900237677422215670529285323        -27.5799980034669498811701193082270840        -29.6319584794534131843562179975564240      
   3973536.00000000000000000000000000000         7379582.72028982866570672499836760362        -166113745.425830596133264848200593991        -27.6826440541089856430246673950885327        -28.1983720184579237350860535949619258      
   4257360.00000000000000000000000000000        -486046.234953083876180167396633502488        -173922855.379771280914589798680358277        -27.7113008679442913578794604450106813        -26.8877038749357912159067883300883526      
   4541184.00000000000000000000000000000        -8350681.79479701243501083496432181937        -181376496.755030148145391904782591987        -27.6831243269902956263492469982931360        -25.6875077902314415877124747074005420      
   4825008.00000000000000000000000000000        -16200316.3929204712078860647567206041        -188504317.801880578268971609523064772        -27.6113865310338108284888839676696225        -24.5862899174464509104779060232922464      
   5108832.00000000000000000000000000000        -24024230.1363652930841808929708015441        -195332855.054088791111822867180901781        -27.5063739785950051507584292979603219        -23.5736442834576373283692558570189079      
   5392656.00000000000000000000000000000        -31814254.5691219686917037856308491850        -201885849.832096739183145760871789843        -27.3760791755131657626264021492414877        -22.6402634029485978091723134275877970      
   5676480.00000000000000000000000000000        -39564206.7281869906030042448980141764        -208184555.294245756761003912553445118        -27.2267295055919666453212864430557675        -21.7778830788150455809652854731936049      
   5960304.00000000000000000000000000000        -47269453.1195122373739871232376769022        -214248021.606019942177089543240077245        -27.0631905622208436841286881149482984        -20.9791961796003066755969448207763964      
   6244128.00000000000000000000000000000        -54926572.7244505280786125264490883446        -220093354.047203511644793167087069220        -26.8892737436660616593051925141914591        -20.2377553339712516380091327624965017      
   6527952.00000000000000000000000000000        -62533095.5815567899427683971579726577        -225735942.945838055226902151434442864        -26.7079712542182531015682116705295796        -19.5478755348225656572816823095056336      
   6811776.00000000000000000000000000000        -70087299.1909650110152115186674411226        -231189666.498794471395017799486695457        -26.5216361696716453757509969674674588        -18.9045423401576226620879981891919324      
   7095600.00000000000000000000000000000        -77588049.3099985600970226990845616205        -236467068.596143849415791079430541267        -26.3321209137415439873037573918402036        -18.3033282704635472589839479561842527      
   7379424.00000000000000000000000000000        -85034674.9634085709765165219434044298        -241579514.184866563069485519576127529        -26.1408841870374371480660464177255517        -17.7403182514738699529718816872959063      
   7663248.00000000000000000000000000000        -92426869.9370019872192480942014907009        -246537324.770956488746855662126571408        -25.9490738931606427549675018247663942        -17.2120439974020417933086198901037152      
   7947072.00000000000000000000000000000        -99764614.8607134235150883144192294282        -251349896.535903837289373571039505114        -25.7575917344494050111571603264047179        -16.7154267451469141384103237667465322      
   8230896.00000000000000000000000000000        -107048115.369878723075021433946453683        -256025803.331985644263696005592117531        -25.5671437514215577366546560509357600        -16.2477275367858024605000315480986191      
   8514720.00000000000000000000000000000        -114277752.876920367921184856617231005        -260572886.576705224484471492947720189        -25.3782800361418362725839217080205953        -15.8065041872939924972451087994124003      
   8798544.00000000000000000000000000000        -121454045.275834564151481151936168153        -264998333.820894704516772197111886391        -25.1914260698570697859823204263152311        -15.3895740963879586156831248533840079      
   9082368.00000000000000000000000000000        -128577615.502622593871058148842587988        -269308747.533371656416746787404493900        -25.0069075512575033085143966822316814        -14.9949821263156577174036368433979197      
   9366192.00000000000000000000000000000        -135649166.333490783389552732184043598        -273510205.434933534988740936758767535        -24.8249701430830814079717906965082517        -14.6209728474771889450804316660602465      
   9650016.00000000000000000000000000000        -142669460.154403418866130519887879494        -277608313.528296387767043804278869690        -24.6457952341243885467769827053178181        -14.2659665376207546494040052455570966      
