           0   0.0000000000000000        0.0000000000000000     
           1   9.3389036413424536E-007   3.5755948844521860E-007
           2  -6.0017658437066306E-008   4.6777220399285937E-007
           3  -9.9318886285863954E-007   8.2720439959919372E-007
           4  -7.4598075186981526E-007   1.7961668084992176E-006
           5  -7.3296344247917994E-007   2.7960820797378505E-006
           6  -9.7369133855359576E-007   3.7666747234620783E-006
           7  -1.9573296126210091E-006   3.9468295063285905E-006
           8  -1.2351977917398614E-006   4.6385849784940644E-006
           9  -1.3920256659847264E-006   5.6262109288719572E-006
          10  -1.9521073566176034E-006   6.4546483132395496E-006
          11  -1.8781164583094652E-006   7.4519072299545388E-006
          12  -2.8711463368588337E-006   7.5697701177022367E-006
          13  -2.4009193906397170E-006   8.4523156513997594E-006
          14  -1.4195211033129856E-006   8.6442984673811852E-006
          15  -4.7234785429283630E-007   8.9650208338301340E-006
          16   4.8999748403245571E-007   9.2368506515536108E-006
          17  -4.5564066034404015E-007   9.5620713456986438E-006
          18  -1.2311215639473908E-006   1.0193442368272954E-005
          19  -1.8970310239483252E-006   1.0939474935310924E-005
          20  -2.6305394907212146E-006   1.1619155249261890E-005
          21  -3.6284156148736119E-006   1.1684295412345724E-005
          22  -3.9957739994064404E-006   1.2614374880624339E-005
          23  -3.1053349057691263E-006   1.3069477309229546E-005
          24  -3.9864564970981058E-006   1.3542367086338215E-005
          25  -3.1322269996338213E-006   1.4062263196789059E-005
          26  -2.8371295597390414E-006   1.5017730360519737E-005
          27  -2.4821709588856780E-006   1.5952612380712778E-005
          28  -2.8653266303786023E-006   1.6876296163943168E-005
          29  -2.4555900281270830E-006   1.7788500042895335E-005
          30  -2.7285462856340019E-006   1.8750526488211584E-005
          31  -3.7052263949648463E-006   1.8965226194865991E-005
          32  -3.2961160910651204E-006   1.9877711131313205E-005
          33  -2.3423313569577061E-006   2.0178201864920164E-005
          34  -1.7988324823680772E-006   2.1017611760811204E-005
          35  -1.4620750391902300E-006   2.1959203192624555E-005
          36  -1.4434737861942179E-006   2.2959030174350382E-005
          37  -4.4422468602133601E-007   2.2997775958684758E-005
          38  -1.2820889504240335E-006   2.3543654584788515E-005
          39  -2.1715032481663317E-006   2.4000756550406226E-005
          40  -2.4112997625445091E-006   2.4971579722612202E-005
          41  -2.0457643247849862E-006   2.5902377146191553E-005
          42  -3.0431452613467045E-006   2.5974704647069642E-005
          43  -3.3851263215398819E-006   2.6914411492032021E-005
          44  -2.5195640232042561E-006   2.7415212757705291E-005
          45  -2.9280541599387414E-006   2.8327975491492469E-005
          46  -2.5215825358418093E-006   2.9241638897131550E-005
          47  -3.3350289701551439E-006   2.9823278732857168E-005
          48  -3.5406296708081227E-006   3.0801914697805832E-005
          49  -3.5923423063976869E-006   3.1800576704352784E-005
          50  -3.7672375825502519E-006   3.2785163745898384E-005
          51  -4.3748150192578711E-006   3.3579424193361181E-005
          52  -4.2701898173920382E-006   3.4573935916336092E-005
          53  -4.0727867156277391E-006   3.5554258320147118E-005
          54  -4.9808491408755523E-006   3.5973093170479635E-005
          55  -5.1619700959534571E-006   3.6956553998185376E-005
          56  -5.6352257869930962E-006   3.7837479109019775E-005
          57  -5.8791581973952834E-006   3.8807271344065702E-005
          58  -4.8791984729843024E-006   3.8816246284506450E-005
          59  -4.3909681785807558E-006   3.9688961117442513E-005
          60  -5.3885791814175874E-006   3.9758042859016474E-005
          61  -6.0472778940427025E-006   4.0510449667854632E-005
          62  -5.8012950741062725E-006   4.1479723856253414E-005
          63  -5.2344080811538189E-006   4.2303519423867929E-005
          64  -4.4339351548864270E-006   4.2902888337236748E-005
          65  -3.4397811803717988E-006   4.3010859976831449E-005
          66  -4.4115766422510411E-006   4.3246685294112925E-005
          67  -3.4752607281284969E-006   4.3597844102860284E-005
          68  -2.5815507445309186E-006   4.4046489246841599E-005
          69  -1.7752676193963658E-006   4.4638019061917099E-005
          70  -7.7739021467578007E-007   4.4703139605128194E-005
          71  -1.0503623247149075E-006   4.5665161552456211E-005
          72  -1.9744900320883830E-006   4.6047245287342482E-005
          73  -2.9645457400128144E-006   4.6187921138881585E-005
          74  -3.4538553692923385E-006   4.7060031273379706E-005
          75  -3.1121863110648768E-006   4.7999851604427058E-005
          76  -2.8695340084128671E-006   4.8969964927713407E-005
          77  -2.8642428105533617E-006   4.9969950929228036E-005
          78  -2.8739011966438914E-006   5.0969904285929299E-005
          79  -3.8511183854377021E-006   5.1182146048845840E-005
          80  -4.0977839472758772E-006   5.2151246714722744E-005
          81  -3.5109388219841619E-006   5.2960945917464942E-005
          82  -3.0248476729849667E-006   5.3834854033266964E-005
          83  -3.5332650841604125E-006   5.4695964790378763E-005
          84  -4.2680284772984253E-006   5.5374288279655317E-005
          85  -5.1757279097500593E-006   5.5793909228044437E-005
          86  -4.2925146043564704E-006   5.6262880716704174E-005
          87  -4.3040107806160093E-006   5.7262814633486382E-005
          88  -5.0437361040187815E-006   5.7935723576744427E-005
          89  -5.6471860667247840E-006   5.8733124443630166E-005
          90  -4.6827350415719493E-006   5.8997386094426583E-005
          91  -4.4130521104030160E-006   5.9960335270985828E-005
          92  -4.6734380184517232E-006   6.0925839894946611E-005
          93  -5.6728648955363402E-006   6.0959691296112433E-005
          94  -4.7045973440690725E-006   6.1209607179512387E-005
          95  -5.6564887350253029E-006   6.1516042784205146E-005
          96  -5.4023568433097044E-006   6.2483212356520705E-005
          97  -4.4047842575978372E-006   6.2552846660108376E-005
          98  -5.4003832478301591E-006   6.2646562457327319E-005
          99  -5.0469952594782517E-006   6.3582039303480435E-005
