   0.00000000000000000000000000000000000        -333703990349744544.309992727272727253         328167874904352347.601318359375000000        -5536115445392196.70867436789772725314      
   283824.000000000000000000000000000000        -331177238754347619.858065467467545195         325679715749315862.860726199891957644        -5497523005031756.99733926757558755138      
   567648.000000000000000000000000000000        -323963950488483950.553577394775608633         318567855844510092.577764835887843053        -5396094643973857.97581255888776557983      
   851472.000000000000000000000000000000        -313026405362830417.959056516805432413         307761394286410191.456517673454187811        -5265011076420226.50253884335124460181      
   1135296.00000000000000000000000000000        -299599736307687957.252521415311622144         294462879643209084.873006107460175373        -5136856664478872.37951530785144677038      
   1419120.00000000000000000000000000000        -284872803796529937.678245859504536142         279841600187914832.457866594715204189        -5031203608615105.22037926478933195229      
   1702944.00000000000000000000000000000        -269796707455440038.026931468756702326         264842828297943647.267574064869435885        -4953879157496390.75935740388726644112      
   1986768.00000000000000000000000000000        -255031479194151959.810992628045782954         250129254649278860.526361844939054663        -4902224544873099.28463078310672829119      
   2270592.00000000000000000000000000000        -240978973717520662.535692719659740912         236108592073361267.040212539771133371        -4870381644159395.49548017988860754146      
   2554416.00000000000000000000000000000        -227847491687905643.264185663842140123         222995074396260804.791744864169808715        -4852417291644838.47244079967233140738      
   2838240.00000000000000000000000000000        -215715461407569385.079687429011387062         210871907992389948.645074500204583595        -4843553415179436.43461292880680346684      
   3122064.00000000000000000000000000000        -204581507278760683.240691390327801569         199741151505905845.411734340489192246        -4840355772854837.82895704983860932225      
   3405888.00000000000000000000000000000        -194399386550706349.369994968792084350         189558870723837166.917103574692843232        -4840515826869182.45289139409924111801      
   3689712.00000000000000000000000000000        -185100568570923759.961311351667916397         180258019905840966.334888851372171920        -4842548665082793.62642250029574447767      
   3973536.00000000000000000000000000000        -176607998463961709.594251538603339485         171762468252080855.544170287510688716        -4845530211880854.05008125109265076924      
   4257360.00000000000000000000000000000        -168844033843119675.397348231569697646         163995131569210570.679905780285646993        -4848902273909104.71744245128405065293      
   4541184.00000000000000000000000000000        -161734717739466643.608695681547940431         156882378975017468.815526258349200256        -4852338764449174.79316942319874017553      
   4825008.00000000000000000000000000000        -155211834533233732.440349316931291646         150356176701004743.962007628964593714        -4855657832228988.47834168796669793156      
   5108832.00000000000000000000000000000        -149213671858274903.143457429785645074         144354906212692595.245408720069716979        -4858765645582307.89804870971592809514      
   5392656.00000000000000000000000000000        -143685058798475919.763323574580150779         138823437759474180.876460431785419006        -4861621039001738.88686314279473177358      
   5676480.00000000000000000000000000000        -138577024084539665.527298239259550314         133712810529740701.554716205149262676        -4864213554798963.97258203411028763818      
   5960304.00000000000000000000000000000        -133846276553442119.257302931210860161         128979726602053099.021586831208796731        -4866549951389020.23571610000206343061      
   6244128.00000000000000000000000000000        -129454623605781207.993859042617725646         124585977595717385.753307655784633406        -4868646010063822.24055138683309224001      
   6527952.00000000000000000000000000000        -125368391315900754.017789648697040958         120497869681509092.020203995773521083        -4870521634391661.99758565292351987497      
   6811776.00000000000000000000000000000        -121557878995741228.559189921870003590         116685681012352048.371655377489900254        -4872197983389180.18753454438010333516      
   7095600.00000000000000000000000000000        -117996863076642045.495517467370369238         113123167224110415.292667386803180593        -4873695852531630.20285008056718864533      
   7379424.00000000000000000000000000000        -114662155016343693.891022604607554281         109787120202755255.827411177219554039        -4875034813588438.06361142738800024121      
   7663248.00000000000000000000000000000        -111533212418108060.034171745297757419         106656979608218156.175587078550875325        -4876232809889903.85858466674688209419      
   7947072.00000000000000000000000000000        -108591799756593482.476122965540496684         103714493737161268.627229139748193540        -4877306019432213.84889382579230314441      
   8230896.00000000000000000000000000000        -105821693889289719.779771906967628783         100943425018885432.468487610193168411        -4878268870404287.31128429677446037283      
   8514720.00000000000000000000000000000        -103208429202806007.362456739017635032         98329295064131713.7826651276751907665        -4879134138674293.57979161134244426579      
   8798544.00000000000000000000000000000        -100739077390132489.264783236223389007         95859164305392541.0004771446025294002        -4879913084739948.26430609162085960673      
   9082368.00000000000000000000000000000        -98402057237640788.0575371567733885259         93521441632637115.0773730826290453255        -4880615605003672.98016407414434320033      
   9366192.00000000000000000000000000000        -96186970280606433.1276463633205125875         91305719897646723.5937487210684058020        -4881250382959709.53389764225210678550      
   9650016.00000000000000000000000000000        -94084458686103740.7337356508935219263         89202633653643377.7774318829530954683        -4881825032460362.95630376794042645794      
   9933840.00000000000000000000000000000        -92086082201208470.6203397589682882185         87203735971990533.8356628859732825043        -4882346229217936.78467687299500571418      
   10217664.0000000000000000000000000000        -90184211442764281.8119437436079843529         85301391613691545.8893715185965711395        -4882819829072735.92257222501141321336      
   10501488.0000000000000000000000000000        -88371935194933482.6243574869025030061         83488684222005466.6892567431919778415        -4883250972928015.93510074371052516462      
   10785312.0000000000000000000000000000        -86642979721524728.6451899111839605183         81759335542520078.2824623240905015792        -4883644179004650.36272758709345893913      
   11069136.0000000000000000000000000000        -84991638394365321.8438987813563296192         80107634970922152.2018231610419693040        -4884003423443169.64207562031436031524      
   11352960.0000000000000000000000000000        -83412710191104254.8771224076771294842         78528377980674136.6013185554138415628        -4884332210430118.27580385226328792136      
   11636784.0000000000000000000000000000        -81901445830703490.0464385733714213211         77016812197659605.2482498201111757452        -4884633633043884.79818875326024557593      
   11920608.0000000000000000000000000000        -80453500497385830.0540617776223037000         75568590071424992.7913456330843034736        -4884910425960837.26271614453800022637      
   12204432.0000000000000000000000000000        -79064892258518766.1299355563223949656         74179727247447156.6561633765279339670        -4885165011071609.47377217979446099860      
