   88000000.0000000000000000000000000000         0.00000000000000000000000000000000000      
   87305736.5868890602610372546487603265        -15502466.5768432617187500000000000000      
   85264956.8392908209590632777716427854        -30765838.6189329203473716068021015370      
   81993205.4781692637595991225745437870        -45585043.7323096780154031410290023008      
   77653609.1864309552190695121099935541        -59810568.4598836110380843843129460191      
   72427319.7945874380247489801935860511        -73353142.0803245093703888464420673798      
   66490074.2986701315397381459377509315        -86175671.6032769910753495337501847963      
   59998389.3104604710680360541216811520        -98279609.7256987449381922711161509041      
   53084124.8814265665697372392210150728        -109691346.890734631737277901829756208      
   45854440.2423978596898701105881495746        -120451309.768294340942439500198802976      
   38394451.5641645749576568095331383184        -130606305.645483370556885030757985928      
   30770819.0337805193850497045847705589        -140204634.658052923191396328707158080      
   23035313.4269618358318531808834440906        -149293223.458885825045991409766717074      
   15227951.2970737736061114990008537127        -157916105.900237677422215670529285323      
   7379582.72028982866570672499836760362        -166113745.425830596133264848200593991      
  -486046.234953083876180167396633502488        -173922855.379771280914589798680358277      
  -8350681.79479701243501083496432181937        -181376496.755030148145391904782591987      
  -16200316.3929204712078860647567206041        -188504317.801880578268971609523064772      
  -24024230.1363652930841808929708015441        -195332855.054088791111822867180901781      
  -31814254.5691219686917037856308491850        -201885849.832096739183145760871789843      
  -39564206.7281869906030042448980141764        -208184555.294245756761003912553445118      
  -47269453.1195122373739871232376769022        -214248021.606019942177089543240077245      
  -54926572.7244505280786125264490883446        -220093354.047203511644793167087069220      
  -62533095.5815567899427683971579726577        -225735942.945838055226902151434442864      
  -70087299.1909650110152115186674411226        -231189666.498794471395017799486695457      
  -77588049.3099985600970226990845616205        -236467068.596143849415791079430541267      
  -85034674.9634085709765165219434044298        -241579514.184866563069485519576127529      
  -92426869.9370019872192480942014907009        -246537324.770956488746855662126571408      
  -99764614.8607134235150883144192294282        -251349896.535903837289373571039505114      
  -107048115.369878723075021433946453683        -256025803.331985644263696005592117531      
  -114277752.876920367921184856617231005        -260572886.576705224484471492947720189      
  -121454045.275834564151481151936168153        -264998333.820894704516772197111886391      
  -128577615.502622593871058148842587988        -269308747.533371656416746787404493900      
  -135649166.333490783389552732184043598        -273510205.434933534988740936758767535      
  -142669460.154403418866130519887879494        -277608313.528296387767043804278869690      
  -149639302.706551024299353592862751828        -281608252.808080881123965821528397524      
  -156559530.021987132331351418879154800        -285514820.494505413868857968993712831      
  -163430997.926678204573991004604942760        -289332466.513853329690963534866405453      
  -170254573.615461974330011738881743620        -293065325.845662994399714590114675243      
  -177031128.903184329976407092804349155        -296717247.268635150943647403355955089      
  -183761534.834844217257161596294765366        -300291818.962331365409758808691640312      
  -190446657.399682155926788613008750691        -303792391.357948562158920768646881612      
  -197087354.143439285016628622013967271        -307222097.577133711801794289844023681      
  -203684471.512282288366282004593261886        -310583871.751513622914308207475235926      
  -210238842.793286672016159061069863281        -313880465.476129359285054655689517435      
  -216751286.541561781420642704544154852        -317114462.616239206813675792632824738      
  -223222605.404379667680132317809644901        -320288292.658104767535504440430800151      
  -229653585.269046142766824738236482943        -323404242.769655705945941268555122646      
  -236044994.674517096778460747502634826        -326464468.715711110372029870678282030      
  -242397584.437538436383091012580430338        -329471004.754189688690952227056031257      
  -248712087.452864871709500505263986313        -332425772.624020971964837293439482546      
  -254989218.634280245275613322497302733        -335330589.721899461713269782377312098      
  -261229674.969009446395239297603166861        -338187176.553286279835582289006448819      
  -267434135.662925923841792530051817528        -340997163.532890847670805399877738860      
  -273603262.357916885519810481510782225        -343762097.201032359071974068895577595      
  -279737699.406029029757005408471106955        -346483445.914596005320764230020066850      
  -285838074.187708808331346745502046196        -349162605.064599907912628124171671856      
  -291904997.463675951866553378184479322        -351800901.866537867500670748450380042      
  -297939063.751810880538740076692662407        -354399599.764543291838791505541542464      
  -303940851.721963581377789182758381150        -356959902.485931314070312417824982894      
  -309910924.602858868524059346622990224        -359482957.778734069517119323523585909      
  -315849830.596325822555927783197225575        -361969860.861375626031438855481011202      
  -321758103.294954605170071189616432249        -364421657.610575864590696484670791585      
  -327636262.100012106798975782504370999        -366839347.510873234311542740214350197      
  -333484812.637053959778545511257441663        -369223886.386768817565438081599852432      
  -339304247.167174904168919215644347723        -371576188.936378975718132959957716053      
  -345095044.992259312487622375742049769        -373897131.083606877186304413892162356      
  -350857672.852942919199896907334338263        -376187552.164174944951162585071272424      
  -356592585.318287114287732407253424309        -378448256.959375168895769949765006025      
  -362300225.166408226620849793910622565        -380680017.590070168065090601662843876      
  -367981023.755504094955173221337319514        -382883575.282295624980779135982842040      
  -373635401.384885612696792694165306638        -385059642.014757511364741124707628483      
  -379263767.645757437522680267809925341        -387208902.057570793542812355961304930      
  -384866521.761604359155888415244242487        -389332013.410737309836743009782956998      
  -390444052.918131835093624938869663329        -391429609.150098113707019712515506419      
  -395996740.582784216936663785284637562        -393502298.687810020277744380805699412      
  -401524954.813924952275872508608066510        -395550668.953778822867154818931946639      
  -407029056.559811870635000024533123667        -397575285.503925142125166974685137754      
  -412509397.947539489734621793002182104        -399576693.560656518224311826271044064      
  -417966322.562150744686328930026573881        -401555418.990465327097307135072079135      
  -423400165.716144023362427524495065500        -403511969.223161250917002947338310324      
  -428811254.709619044791324485846410815        -405446834.116874814955887464778302943      
  -434199909.081317920328907672525093457        -407360486.772630894691930681021674274      
  -439566440.850826512492142932831889803        -409253384.301984533514380630182060616      
  -444911154.752206647490664829158570541        -411125968.550932729140206192388912867      
  -450234348.459332429558539853025660080        -412978666.783062235000985134194145899      
